country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,,,,,,,,,,,,,,,,,,,,0.755,,1.42,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,6.31,4.63,4.75,5.65,5.66,6.46,6.79,7.3,7.03,6.8,6.1,5.17,4.67,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,0.595,
Argentina,,,,,,,,,,,,,,,1.53,1.28,0.917,,0.759,0.812,0.776,0.722,0.695,0.73,0.813,,,1.06,1.2,1.37,1.29
Armenia,,,,,,,,,,,,,,,,,,3.23,7.18,,6.21,,5.29,7.5,6.69,7.27,5.72,5.59,5.6,5.48,
Australia,1.54,2.23,2.64,2.65,2.29,2.05,2.02,1.96,1.87,1.61,1.45,1.57,1.47,1.34,1.19,1.11,1.01,0.876,0.903,1.29,1.12,1.12,1.2,1.28,1.35,1.38,1.24,1.24,1.18,,
Austria,,,,,0.969,0.796,1.14,1.15,1.15,1.04,1.09,0.813,0.827,1.09,1.27,1.28,1.26,1.09,0.947,1.23,1.24,1.12,1.18,1.31,1.53,1.75,1.86,1.68,1.26,1.06,1.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,2.17,1.94,1.95,1.9,1.79,1.78,1.82,1.88,1.78,1.85,1.82,
Belgium,,,1.68,1.95,2.74,2.75,2.73,2.66,2.79,2.72,1.86,1.88,2.03,2.3,2.3,2.46,2.37,2.14,1.99,2.29,2.7,2.23,2.37,2.73,2.98,2.93,2.56,2.26,1.92,1.66,1.67
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523,,
Bangladesh,,,,,,,,,,,,,,,,,0.138,,,,1.35,,,0.855,,,,0.555,,,
Bulgaria,,,,,,,,,,,5.96,7.74,6.98,5.26,4.07,3.52,2.88,2.34,1.86,2.16,3.69,4.51,4.95,5.23,4.84,3.82,2.99,2.36,2.2,1.68,1.82
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,10.6,10,7.77,7.92,8.76,8.72,8.96,9.45,9.22,9.36,8.11,6.44,5.76,3.88,5.62
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,1.67,2.05,1.49,1.14,1.16
Belize,,,,,,,,,,,,,,,,,,,,,,,,,1.61,1.67,1.51,1.48,,,
Bolivia,,,,,,,,,,0.806,0.484,0.752,0.596,,0.882,0.681,0.709,0.492,0.35,,,0.304,0.241,0.24,0.195,0.385,0.313,0.294,0.294,0.52,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,2.9,3.05,2.89,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.58,,0.592,,,,,
Botswana,,,,,,,4.15,,,,,,,,,,3.99,,,,,,,,,,,,,6.09,7.12
Canada,0.89,1.49,2.03,2.21,1.97,1.56,1.53,1.37,1.13,0.942,0.75,0.696,0.823,0.83,0.744,0.652,0.544,0.524,0.545,0.932,1.13,1.03,0.875,0.876,0.858,0.824,0.9,0.809,0.638,0.544,0.826
Switzerland,,0.228,0.553,0.919,1.06,0.875,1.02,1.27,1.03,0.894,0.636,0.315,0.613,0.993,1.18,1.37,1.09,0.964,0.715,0.978,1.46,1.4,1.27,1.38,1.61,1.51,1.59,1.42,1.42,1.28,1.49
Chile,,,,,,,0.275,,,,1.02,,,0.726,,,0.466,,,0.802,0.976,0.781,0.628,0.556,0.734,0.713,0.898,1.01,0.948,1.04,1.89
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492,0.913,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,1.06,,,,0.937,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,
Colombia,,,,,,,,,,,,3.69,3.14,2.78,2.7,2.11,1.9,1.31,1.22,1.44,1.3,1.11,1.01,0.9,0.871,0.766,0.852,0.914,1.03,1.19,1.67
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,,2.49,1.78,1.83,
Costa Rica,,,,,,,,,,,,0.751,0.801,1.18,1.05,0.872,0.841,0.547,0.562,1.01,0.685,0.661,0.658,0.819,0.987,0.906,0.682,0.727,0.91,0.942,1.85
Cuba,,,,,,,,,,,,,,,,,,,,0.246,0.451,,,,,,,,,,
Cyprus,,,,,,,,,,,0.535,0.451,0.396,0.587,0.641,0.677,0.565,0.566,0.433,0.634,1.15,1.5,2.72,4.04,4.5,3.74,3.04,2.35,1.5,1.12,1.49
Czech Republic,,,,0.633,0.736,0.903,0.859,1.04,1.45,2.35,2.87,2.59,2.33,2.19,2.7,2.64,2.41,1.7,1.37,1.7,2.39,2.03,2.15,2.11,1.84,1.57,1.14,0.751,0.526,0.485,0.553
Germany,,,1.58,2.08,2.59,2.51,2.83,3.38,3.39,3.09,2.75,2.72,3,3.73,4.02,4.4,4.08,3.36,2.8,2.79,2.6,2.12,1.89,1.87,1.8,1.69,1.45,1.38,1.23,1.08,1.17
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,
Denmark,,,2.42,2.62,2.16,1.72,1.44,1.17,0.898,1,0.839,0.8,0.729,1.26,1.37,1.03,0.668,0.561,0.393,1.05,1.92,1.81,1.81,1.47,1.41,1.39,1.13,1.18,0.9,0.797,0.931
Dominican Republic,,,,,,,,,,,0.534,0.893,0.892,0.936,0.795,0.801,0.627,0.581,0.5,0.865,0.828,1.04,1.17,1.06,0.881,0.583,0.572,0.436,0.324,0.341,0.461
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3.31,,,
Ecuador,,,,,,,,,,,1.26,0.754,,1.04,0.624,0.463,0.435,0.32,0.271,0.398,0.39,0.295,0.267,0.247,0.225,0.294,0.513,0.443,0.371,0.417,0.599
Egypt,,,,,,,,,,,,,,,,,,,2.35,2.18,2.06,2.96,4.1,4.34,,3.99,3.6,3.23,2.22,1.32,
Spain,,,3.93,6,6.93,6.15,6.03,5.51,4.6,3.39,2.87,1.97,2.1,2.37,2.25,1.42,1.16,1.15,1.71,4.53,6.32,6.98,8.49,9.21,8.51,7.18,5.87,4.74,3.95,3.31,3.51
Estonia,0.176,0.403,1.08,2.43,2.72,3.94,4.39,3.58,3.32,4.16,4.7,5.21,4.41,3.56,4.32,2.88,2.27,1.87,1.66,4.7,7.42,5.21,4.19,3.09,2.94,1.94,2.04,1.8,1.31,0.89,1.59
Ethiopia,,,,,,,,,,0.604,,,,,,0.436,,,,,,,,0.442,,,,,,,
Finland,,2.17,,6.04,,4.45,4.15,3.67,3.1,2.34,2.45,2.27,2.4,2.52,2.11,1.91,1.62,1.4,1.05,1.57,2.08,1.71,1.69,1.77,1.88,2.09,1.93,1.83,1.43,1.19,1.28
Fiji,,,,,,,,,,,,,,,,1,,,,,,1.34,,,,,1.25,,,,
France,,,1.95,2.35,2.99,2.68,2.81,3.03,2.84,2.54,2.23,1.8,1.81,1.91,2.19,2.12,2.21,1.94,1.75,2.26,2.51,2.38,2.64,2.82,3.19,3.26,3.11,2.85,2.56,2.31,2.12
United Kingdom,,,4.13,4.72,4.44,3.79,3.48,2.75,2.06,1.86,1.62,1.37,1.34,1.22,1.16,1.19,1.41,1.38,1.49,2.22,2.67,2.61,2.56,2.42,1.93,1.46,1.22,1.09,0.985,0.921,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,4.3,3.89,4.38
Ghana,,0.924,,,,,,,,,,,,,,,1.18,,,,,,,0.52,,1.4,,0.977,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,1.41,,
Greece,,,1.45,1.77,1.95,1.94,1.95,2.06,2.47,2.67,2.53,2.19,2.25,2.19,2.24,2.01,2.04,1.65,1.59,2,3.13,5.07,8.18,10.2,10.1,9.28,8.32,7.5,6.26,5.89,5.47
Guatemala,,,,,,,,,,,,,,,0.113,,0.0481,,,,0.302,0.236,0.219,0.301,0.313,0.23,0.339,0.269,0.363,0.43,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,1.04,0.924,0.587,0.617,0.55,0.436,0.428,0.461,0.417,0.441,0.464,1.18
Honduras,,,,,,,,,,,,,,,,0.248,0.238,0.146,0.211,0.161,0.25,0.525,0.314,0.132,1.03,0.465,0.536,0.245,,,
