Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,,ChannelS,Watch time(Minutes)S,Stream time(minutes)S,Peak viewersS,Average viewersS,FollowersS,Followers gainedS,Views gainedS,PartneredS,MatureS,LanguageS
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,TRUE,FALSE,English,,Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,TRUE,FALSE,Spanish
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,TRUE,FALSE,English,,auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,TRUE,FALSE,Spanish
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,TRUE,FALSE,English,,TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,TRUE,FALSE,Spanish
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,TRUE,FALSE,English,,ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,TRUE,FALSE,Spanish
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,TRUE,FALSE,English,,LVPes,1115650275,90960,233009,12947,587677,158934,51523747,TRUE,FALSE,Spanish
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,TRUE,FALSE,English,,elded,853049385,110940,44758,7699,2601858,1108422,14789437,TRUE,FALSE,Spanish
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,TRUE,FALSE,English,,juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,TRUE,FALSE,Spanish
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,TRUE,FALSE,English,,ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,TRUE,FALSE,Spanish
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,TRUE,FALSE,English,,coscu,622424175,77160,80444,8919,1865296,1061265,19438119,TRUE,FALSE,Spanish
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,TRUE,TRUE,English,,MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,TRUE,FALSE,Spanish
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,TRUE,FALSE,English,,Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,TRUE,TRUE,Spanish
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,TRUE,FALSE,English,,Brunenger,559915035,183225,64308,2844,659652,649562,12736000,TRUE,FALSE,Spanish
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,TRUE,TRUE,English,,FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,TRUE,FALSE,Spanish
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,TRUE,FALSE,English,,alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,TRUE,FALSE,Spanish
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,TRUE,FALSE,English,,Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,TRUE,FALSE,Spanish
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,TRUE,FALSE,English,,Magic,362552205,43350,114234,5123,365714,50355,18694298,TRUE,FALSE,Spanish
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,TRUE,FALSE,English,,bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,TRUE,FALSE,Spanish
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,TRUE,FALSE,English,,Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,TRUE,FALSE,Spanish
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,TRUE,FALSE,English,,knekro,298811910,102210,13731,2912,260728,97206,10900480,TRUE,FALSE,Spanish
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,TRUE,TRUE,English,,ElRichMC,288441015,31155,95938,9062,688715,431071,8120275,TRUE,FALSE,Spanish
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,TRUE,FALSE,English,,ReventXz,286819950,84330,47282,3073,362062,219868,8050871,TRUE,FALSE,Spanish
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,TRUE,FALSE,English,,Conterstine,283398825,92805,18090,2557,386804,375789,5308302,TRUE,FALSE,Spanish
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,TRUE,FALSE,English,,IamCristinini,262492530,135240,7943,1906,398634,218848,12690137,TRUE,FALSE,Spanish
LEC,1470431925,45660,305119,28830,973727,551345,25924096,TRUE,FALSE,English,,Ampeterby7,254852265,27480,43882,9301,1194476,1185647,6513197,FALSE,FALSE,Spanish
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,TRUE,FALSE,English,,SNEUX,254717640,57510,30067,3748,196635,155555,4540889,TRUE,FALSE,Spanish
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,TRUE,FALSE,English,,Perxitaa,251497200,30330,55418,8010,689582,669977,7036771,TRUE,FALSE,Spanish
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,FALSE,TRUE,English,,IlloJuan,251067885,60495,24315,4087,275174,178705,5676686,TRUE,FALSE,Spanish
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,TRUE,FALSE,English,,Mixwell,238993935,52905,23552,4219,331208,271798,6539837,TRUE,FALSE,Spanish
LCK,1351758525,37140,171861,36030,934688,307853,28970100,TRUE,FALSE,English,,G4G_REVENANT,237767160,82110,14376,2947,284620,69353,6608568,TRUE,FALSE,Spanish
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,TRUE,FALSE,English,,CooLifeGame,234307740,47010,15459,4415,395859,167356,5764214,TRUE,FALSE,Spanish
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,TRUE,FALSE,English,,bytarifaaa,228077640,15390,121009,13435,638657,629175,3651549,TRUE,FALSE,Spanish
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,TRUE,FALSE,English,,ElcanaldeJoaco,208060515,20445,48072,8673,810622,758797,4893535,TRUE,TRUE,Spanish
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,TRUE,FALSE,English,,MarkiLokurasY,200552295,71070,26329,2714,923377,417223,7000112,TRUE,FALSE,Spanish
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,TRUE,FALSE,English,,Peereira7,198252765,133800,14532,1377,377689,361206,6222094,TRUE,TRUE,Spanish
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,TRUE,FALSE,English,,zEkO,193867860,44970,21313,4440,743040,370683,5338943,TRUE,TRUE,Spanish
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,TRUE,TRUE,English,,x6FlipiN,193573740,61095,19304,2712,279204,186655,6462906,TRUE,TRUE,Spanish
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,TRUE,FALSE,English,,SLAKUN10,179262330,9555,48358,18906,1874932,1874846,5835029,TRUE,FALSE,Spanish
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,TRUE,FALSE,English,,Th3Antonio,176072760,62175,13955,2419,223756,87872,5222867,TRUE,FALSE,Spanish
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,TRUE,TRUE,English,,orslok,173607810,52005,21759,3082,327888,269085,5048873,TRUE,FALSE,Spanish
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,TRUE,TRUE,English,,grafo,172499415,111105,7165,1544,414577,173024,5627155,TRUE,FALSE,Spanish
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,TRUE,FALSE,English,,Pimpeano,170116395,21420,38592,6469,740343,665323,3744461,TRUE,TRUE,Spanish
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,TRUE,FALSE,English,,Werlyb,168339975,57105,37980,2399,204348,146852,5349362,TRUE,FALSE,Spanish
Vader,1110952500,184305,16289,5913,424374,57681,11535871,TRUE,TRUE,English,,Dementardo,166850715,35445,15476,4663,547154,465321,2419659,TRUE,FALSE,Spanish
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,TRUE,TRUE,English,,k1ng,163381335,36540,52558,4365,706537,614383,6210317,TRUE,FALSE,Spanish
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,TRUE,FALSE,English,,lolesportsla,163132800,40950,37187,4586,186208,71514,5283711,TRUE,FALSE,Spanish
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,TRUE,TRUE,English,,goncho,162817050,61770,18091,2431,442412,236558,6156791,TRUE,TRUE,Spanish
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,TRUE,FALSE,English,,MenosTrece,162738420,107700,7132,1481,470873,190155,5465173,TRUE,FALSE,Spanish
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,TRUE,FALSE,English,,CarritosKami,159557775,104955,14634,1681,165439,67444,6694660,TRUE,FALSE,Spanish
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,TRUE,TRUE,English,,bazattak007,158951265,87330,11217,1630,391413,322355,4835861,TRUE,FALSE,Spanish
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,TRUE,FALSE,English,,SkyshockTV,154727730,94275,6213,1605,114154,32991,3059244,TRUE,FALSE,Spanish
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,TRUE,TRUE,English,,Evangelion0,154595850,85635,8533,1777,120494,28322,3446723,TRUE,FALSE,Spanish
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,TRUE,FALSE,English,,cacho01,152494320,54645,18552,2669,269080,250197,2516244,TRUE,FALSE,Spanish
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,TRUE,FALSE,English,,natalan,152469705,60510,9561,2240,529357,462674,2737155,TRUE,TRUE,Spanish
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,TRUE,FALSE,English,,DuendePablo,152343585,133290,10121,1101,514073,118567,4216188,TRUE,FALSE,Spanish
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,TRUE,FALSE,English,,Frankkaster,150181140,30975,49127,4886,826222,356711,5878239,TRUE,TRUE,Spanish
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,TRUE,TRUE,English,,MarkitoNavaja,149407365,28410,26584,5070,665430,641813,3159593,TRUE,FALSE,Spanish
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,TRUE,FALSE,English,,RobertoCein,149162865,114120,15249,1270,730326,422842,2907888,TRUE,TRUE,Spanish
Method,905107560,230940,148350,4135,401400,132108,22813009,TRUE,FALSE,English,,Vicens,146199795,26115,30628,5739,730679,724245,4110592,TRUE,FALSE,Spanish
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,TRUE,FALSE,English,,LRojo_,144763395,111435,11178,1192,100767,82320,3959878,TRUE,FALSE,Spanish
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,TRUE,FALSE,English,,BarcaGamer,141736230,119565,57917,1234,636568,548578,3012949,TRUE,FALSE,Spanish
shroud,888505170,30240,471281,29612,7744066,833587,30621257,TRUE,FALSE,English,,ElOjoNinja,134761230,82020,9339,1484,273504,133594,5226901,TRUE,FALSE,Spanish
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,TRUE,FALSE,English,,Tanovich,133079115,89865,10352,1434,296560,219383,3677360,TRUE,TRUE,Spanish
