Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,TRUE,FALSE,Spanish
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,TRUE,FALSE,Spanish
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,TRUE,FALSE,Spanish
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,TRUE,FALSE,Spanish
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,TRUE,FALSE,Spanish
elded,853049385,110940,44758,7699,2601858,1108422,14789437,TRUE,FALSE,Spanish
juansguarnizo,849083325,123780,45631,6039,1204773,946280,12708431,TRUE,FALSE,Spanish
ElmiilloR,686456910,126105,45726,5163,426716,189847,20714971,TRUE,FALSE,Spanish
coscu,622424175,77160,80444,8919,1865296,1061265,19438119,TRUE,FALSE,Spanish
MYM_ALKAPONE,599850495,97830,26221,5948,770535,153803,7831334,TRUE,FALSE,Spanish
Reborn_Live,578122875,32100,57849,17488,697007,682512,9965787,TRUE,TRUE,Spanish
Brunenger,559915035,183225,64308,2844,659652,649562,12736000,TRUE,FALSE,Spanish
FolagorLives,482387190,79995,57813,5032,786983,417899,9640983,TRUE,FALSE,Spanish
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,TRUE,FALSE,Spanish
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,TRUE,FALSE,Spanish
Magic,362552205,43350,114234,5123,365714,50355,18694298,TRUE,FALSE,Spanish
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,TRUE,FALSE,Spanish
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,TRUE,FALSE,Spanish
knekro,298811910,102210,13731,2912,260728,97206,10900480,TRUE,FALSE,Spanish
ElRichMC,288441015,31155,95938,9062,688715,431071,8120275,TRUE,FALSE,Spanish
ReventXz,286819950,84330,47282,3073,362062,219868,8050871,TRUE,FALSE,Spanish
Conterstine,283398825,92805,18090,2557,386804,375789,5308302,TRUE,FALSE,Spanish
IamCristinini,262492530,135240,7943,1906,398634,218848,12690137,TRUE,FALSE,Spanish
Ampeterby7,254852265,27480,43882,9301,1194476,1185647,6513197,FALSE,FALSE,Spanish
SNEUX,254717640,57510,30067,3748,196635,155555,4540889,TRUE,FALSE,Spanish
Perxitaa,251497200,30330,55418,8010,689582,669977,7036771,TRUE,FALSE,Spanish
IlloJuan,251067885,60495,24315,4087,275174,178705,5676686,TRUE,FALSE,Spanish
Mixwell,238993935,52905,23552,4219,331208,271798,6539837,TRUE,FALSE,Spanish
G4G_REVENANT,237767160,82110,14376,2947,284620,69353,6608568,TRUE,FALSE,Spanish
CooLifeGame,234307740,47010,15459,4415,395859,167356,5764214,TRUE,FALSE,Spanish
bytarifaaa,228077640,15390,121009,13435,638657,629175,3651549,TRUE,FALSE,Spanish
ElcanaldeJoaco,208060515,20445,48072,8673,810622,758797,4893535,TRUE,TRUE,Spanish
MarkiLokurasY,200552295,71070,26329,2714,923377,417223,7000112,TRUE,FALSE,Spanish
Peereira7,198252765,133800,14532,1377,377689,361206,6222094,TRUE,TRUE,Spanish
zEkO,193867860,44970,21313,4440,743040,370683,5338943,TRUE,TRUE,Spanish
x6FlipiN,193573740,61095,19304,2712,279204,186655,6462906,TRUE,TRUE,Spanish
SLAKUN10,179262330,9555,48358,18906,1874932,1874846,5835029,TRUE,FALSE,Spanish
Th3Antonio,176072760,62175,13955,2419,223756,87872,5222867,TRUE,FALSE,Spanish
orslok,173607810,52005,21759,3082,327888,269085,5048873,TRUE,FALSE,Spanish
grafo,172499415,111105,7165,1544,414577,173024,5627155,TRUE,FALSE,Spanish
Pimpeano,170116395,21420,38592,6469,740343,665323,3744461,TRUE,TRUE,Spanish
Werlyb,168339975,57105,37980,2399,204348,146852,5349362,TRUE,FALSE,Spanish
Dementardo,166850715,35445,15476,4663,547154,465321,2419659,TRUE,FALSE,Spanish
k1ng,163381335,36540,52558,4365,706537,614383,6210317,TRUE,FALSE,Spanish
lolesportsla,163132800,40950,37187,4586,186208,71514,5283711,TRUE,FALSE,Spanish
goncho,162817050,61770,18091,2431,442412,236558,6156791,TRUE,TRUE,Spanish
MenosTrece,162738420,107700,7132,1481,470873,190155,5465173,TRUE,FALSE,Spanish
CarritosKami,159557775,104955,14634,1681,165439,67444,6694660,TRUE,FALSE,Spanish
bazattak007,158951265,87330,11217,1630,391413,322355,4835861,TRUE,FALSE,Spanish
SkyshockTV,154727730,94275,6213,1605,114154,32991,3059244,TRUE,FALSE,Spanish
Evangelion0,154595850,85635,8533,1777,120494,28322,3446723,TRUE,FALSE,Spanish
cacho01,152494320,54645,18552,2669,269080,250197,2516244,TRUE,FALSE,Spanish
natalan,152469705,60510,9561,2240,529357,462674,2737155,TRUE,TRUE,Spanish
DuendePablo,152343585,133290,10121,1101,514073,118567,4216188,TRUE,FALSE,Spanish
Frankkaster,150181140,30975,49127,4886,826222,356711,5878239,TRUE,TRUE,Spanish
MarkitoNavaja,149407365,28410,26584,5070,665430,641813,3159593,TRUE,FALSE,Spanish
RobertoCein,149162865,114120,15249,1270,730326,422842,2907888,TRUE,TRUE,Spanish
Vicens,146199795,26115,30628,5739,730679,724245,4110592,TRUE,FALSE,Spanish
LRojo_,144763395,111435,11178,1192,100767,82320,3959878,TRUE,FALSE,Spanish
BarcaGamer,141736230,119565,57917,1234,636568,548578,3012949,TRUE,FALSE,Spanish
ElOjoNinja,134761230,82020,9339,1484,273504,133594,5226901,TRUE,FALSE,Spanish
Tanovich,133079115,89865,10352,1434,296560,219383,3677360,TRUE,TRUE,Spanish
iGeStarK,131957700,79455,12893,1282,244437,231731,2948954,TRUE,FALSE,Spanish
SoyPan,129903855,132840,13884,954,343191,162018,2167760,TRUE,FALSE,Spanish
wingz,128746905,92715,3940,1347,85695,32924,3057045,TRUE,FALSE,Spanish
FlexZ,127550640,114750,14278,897,155382,133959,3254805,TRUE,FALSE,Spanish
Staryuuki,127219620,77040,5530,1467,586475,530306,5418113,TRUE,FALSE,Spanish
LITkillah,122524635,13560,21359,9104,601927,562691,2162107,TRUE,FALSE,Spanish
